link,full_name,price,year,mileage_km,fuel_type,location
https://www.autovit.ro/autoturisme/anunt/honda-cr-v-1-6-m-t-2wd-elegance-ID7HsRTB.html,Honda CR-V 1.6 M/T 2WD Elegance,14 000,2018,172 342 km,Diesel,Ramnicu Valcea (Valcea)
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-a-180-d-7g-dct-ID7HpcGZ.html,Mercedes-Benz A 180 d 7G-DCT,19 999,2019,140 150 km,Diesel,Magurele (Ilfov)
https://www.autovit.ro/autoturisme/anunt/volvo-xc-60-d5-awd-rdesign-ID7HurQq.html,Volvo XC 60 D5 AWD Rdesign,16 800,2014,130 021 km,Diesel,Ramnicu Valcea (Valcea)
https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-1-5-dci-tekna-ID7HurQA.html,Nissan Qashqai 1.5 dCi TEKNA,14 000,2018,215 558 km,Diesel,Ramnicu Valcea (Valcea)
https://www.autovit.ro/autoturisme/anunt/renault-kadjar-ID7Huq42.html,Renault Kadjar,13 490,2018,168 000 km,Diesel,Moinesti (Bacau)
https://www.autovit.ro/autoturisme/anunt/bmw-x1-xdrive20d-aut-xline-ID7HsfxB.html,BMW X1 xDrive20d Aut. xLine,17 499,2018,187 961 km,Diesel,Ramnicu Valcea (Valcea)
https://www.autovit.ro/autoturisme/anunt/mercedes-benz-a-180-cdi-blueefficiency-ID7Hu07l.html,Mercedes-Benz A 180 CDI (BlueEFFICIENCY),11 200,2015,158 594 km,Diesel,Ramnicu Valcea (Valcea)
https://www.autovit.ro/autoturisme/anunt/volkswagen-sharan-1-4-tsi-dsg-bluemotion-technology-highline-ID7Hu1AK.html,Volkswagen Sharan 1.4 TSI DSG (BlueMotion Technology) Highline,11 500,2016,283 550 km,Benzina,Ramnicu Valcea (Valcea)
https://www.autovit.ro/autoturisme/anunt/ford-mondeo-turnier-2-0-ecoblue-business-edition-ID7HqQ0P.html,Ford Mondeo Turnier 2.0 EcoBlue Business Edition,12 900,2020,185 841 km,Diesel,Cluj-Napoca (Cluj)
https://www.autovit.ro/autoturisme/anunt/hyundai-i20-1-2-l-84cp-5dr-comfort-ID7HrHaU.html,Hyundai i20 1.2 L 84CP 5DR Comfort,8 689,2020,138 900 km,Benzina,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/renault-megane-tce-business-ID7Hus8x.html,Renault Megane TCe Business,11 950,2019,86 637 km,Benzina,Otopeni (Ilfov)
https://www.autovit.ro/autoturisme/anunt/renault-kadjar-ID7Huq2h.html,Renault Kadjar,12 290,2016,156 000 km,Diesel,Moinesti (Bacau)
https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-variant-1-5-tsi-act-opf-dsg-comfortline-ID7HtF5D.html,Volkswagen Passat Variant 1.5 TSI ACT OPF DSG Comfortline,19 499,2020,127 846 km,Benzina,Bucuresti (Bucuresti)
https://www.autovit.ro/autoturisme/anunt/hyundai-ix35-ID7HutFH.html,Hyundai ix35,10 500,2014,202 000 km,Benzina,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/nissan-qashqai-ID7HtNdG.html,Nissan Qashqai,8 800,2013,199 000 km,Benzina,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/audi-a3-1-4-tfsi-sportback-s-line-sportpaket-ID7Huv8V.html,Audi A3 1.4 TFSI Sportback S line Sportpaket,6 890,2010,176 000 km,Benzina,Bacau (Bacau)
https://www.autovit.ro/autoturisme/anunt/volkswagen-touran-ID7HutFo.html,Volkswagen Touran,10 500,2016,219 000 km,Diesel,Arad (Arad)
https://www.autovit.ro/autoturisme/anunt/nissan-x-trail-1-6-dci-tekna-ID7Huq0I.html,Nissan X-Trail 1.6 DCi Tekna,13 290,2017,209 000 km,Diesel,Moinesti (Bacau)
https://www.autovit.ro/autoturisme/anunt/volkswagen-passat-2-0-tdi-dsg-4motion-highline-ID7HtGdU.html,Volkswagen Passat 2.0 TDI DSG 4Motion Highline,19 999,2018,93 500 km,Diesel,Maracineni (Arges)
https://www.autovit.ro/autoturisme/anunt/peugeot-508-ID7Hqcjn.html,Peugeot 508,19 250,2019,131 905 km,Diesel,Magurele (Ilfov)
https://www.autovit.ro/autoturisme/anunt/renault-megane-ID7HqciB.html,Renault Megane,12 390,2019,81 805 km,Diesel,Tunari (Ilfov)
https://www.autovit.ro/autoturisme/anunt/volkswagen-golf-1-4-comfortline-ID7Hus1O.html,Volkswagen Golf 1.4 Comfortline,6 999,2010,188 000 km,Benzina,Arad (Arad)
